id,name,size,length_mm,count,screws,nuts,washers,thread,grip_mm,protrusion_mm,engagement_mm,tapped
J01,Inlet module,4,16,12,12,12,24,M4 x 0.7,5.999999999999998,5.200000000000003,,False
J02,Case split,4,16,12,12,12,24,M4 x 0.7,6.5,4.699999999999999,,False
J03,Exhaust module,4,16,12,12,12,24,M4 x 0.7,6.0,5.199999999999999,,False
J04,Diffuser module,3,16,6,6,6,12,M3 x 0.5,10.664817040347947,1.9351829596520531,,False
J24,Diffuser carrier to case,3,8,3,3,0,3,M3 x 0.5,,,6.3,True
J07,Front bearing retainer,3,10,4,4,4,8,M3 x 0.5,4.999999999999986,1.6000000000000139,,False
J05,Front spider to case,3,8,3,3,0,3,M3 x 0.5,,,6.3,True
J06,Guide vane frame to case,3,8,6,6,0,6,M3 x 0.5,,,6.3,True
J08,Rear bearing and vane frame,3,14,4,4,4,8,M3 x 0.5,8.0,2.5999999999999996,,False
J22,Turbine shroud carrier,3,20,6,6,6,12,M3 x 0.5,14.999999999999972,1.6000000000000298,,False
J09,Outer liner tabs,3,10,6,6,6,12,M3 x 0.5,4.0,2.5999999999999996,,False
J10,Inner liner lip,3,10,4,4,4,8,M3 x 0.5,4.0,2.5999999999999996,,False
J23,Liner carrier to case,3,8,3,3,0,3,M3 x 0.5,,,6.3,True
J11,Manifold clamps,3,20,6,6,6,12,M3 x 0.5,12.00000000000001,4.599999999999989,,False
R01,Rotor retention,8,,2,0,2,2,M8 x 1.25; nominal cylinders; locking and handedness to be selected,,,,False
J12,Starter flange,3,10,3,3,3,6,M3 x 0.5,4.000000000000002,2.599999999999998,,False
J13,ECU mounting tabs,3,12,4,4,4,8,M3 x 0.5,7.0,1.5999999999999996,,False
J14,Service tray to inlet module,3,12,4,4,4,8,M3 x 0.5,6.0,2.5999999999999996,,False
J15,Pump foot,3,12,2,2,2,4,M3 x 0.5,7.0,1.5999999999999996,,False
J16,Fuel split clamps and case mounts,3,20,4,4,4,8,M3 x 0.5,14.200000000000005,2.399999999999995,,False
J19,Cable guide split,3,14,3,3,3,6,M3 x 0.5,8.0,2.5999999999999996,,False
J20,Cable guide to tray,3,12,2,2,2,4,M3 x 0.5,6.0,2.5999999999999996,,False
J21,Connector plate to ECU,3,8,2,2,0,2,M3 x 0.5,2.0,,5.5,True
